way,acc_mean,acc_std,learning_rate,n_estimators
s_ts5_0.82,0.80218,0.024971,0.001,40.0
s_ts5_0.82,0.802501,0.025001,0.001,60.0
s_ts5_0.82,0.802789,0.025344,0.001,80.0
s_ts5_0.82,0.803735,0.023017,0.001,100.0
s_ts5_0.82,0.803397,0.023135,0.001,120.0
s_ts5_0.82,0.805087,0.023363,0.001,140.0
s_ts5_0.82,0.80338,0.025491,0.001,160.0
s_ts5_0.82,0.807166,0.026207,0.001,180.0
s_ts5_0.82,0.80453,0.025638,0.001,200.0
s_ts5_0.82,0.804175,0.02573,0.001,220.0
s_ts5_0.82,0.804682,0.025619,0.005,40.0
s_ts5_0.82,0.80409,0.025226,0.005,60.0
s_ts5_0.82,0.805764,0.02485,0.005,80.0
s_ts5_0.82,0.80889,0.022772,0.005,100.0
s_ts5_0.82,0.80813,0.022275,0.005,120.0
s_ts5_0.82,0.806389,0.015297,0.005,140.0
s_ts5_0.82,0.807386,0.014633,0.005,160.0
s_ts5_0.82,0.811831,0.010259,0.005,180.0
s_ts5_0.82,0.811916,0.009392,0.005,200.0
s_ts5_0.82,0.812524,0.00849,0.005,220.0
s_ts5_0.82,0.808011,0.024915,0.01,40.0
s_ts5_0.82,0.80671,0.022303,0.01,60.0
s_ts5_0.82,0.808011,0.014593,0.01,80.0
s_ts5_0.82,0.812457,0.009009,0.01,100.0
s_ts5_0.82,0.814519,0.009301,0.01,120.0
s_ts5_0.82,0.81511,0.010248,0.01,140.0
s_ts5_0.82,0.817054,0.01039,0.01,160.0
s_ts5_0.82,0.815127,0.012744,0.01,180.0
s_ts5_0.82,0.814806,0.01313,0.01,200.0
s_ts5_0.82,0.818744,0.011525,0.01,220.0
s_ts5_0.82,0.81271,0.010926,0.05,40.0
s_ts5_0.82,0.819539,0.014867,0.05,60.0
s_ts5_0.82,0.819843,0.018232,0.05,80.0
s_ts5_0.82,0.820772,0.021104,0.05,100.0
s_ts5_0.82,0.819505,0.02432,0.05,120.0
s_ts5_0.82,0.823274,0.021256,0.05,140.0
s_ts5_0.82,0.823967,0.019303,0.05,160.0
s_ts5_0.82,0.823375,0.022592,0.05,180.0
s_ts5_0.82,0.822801,0.023854,0.05,200.0
s_ts5_0.82,0.821263,0.025234,0.05,220.0
s_ts5_0.82,0.816006,0.028575,0.1,40.0
s_ts5_0.82,0.819133,0.027043,0.1,60.0
s_ts5_0.82,0.81653,0.029506,0.1,80.0
s_ts5_0.82,0.814012,0.030644,0.1,100.0
s_ts5_0.82,0.814722,0.029369,0.1,120.0
s_ts5_0.82,0.814181,0.032282,0.1,140.0
s_ts5_0.82,0.815837,0.031199,0.1,160.0
s_ts5_0.82,0.816784,0.030674,0.1,180.0
s_ts5_0.82,0.816429,0.03031,0.1,200.0
s_ts5_0.82,0.816936,0.029117,0.1,220.0
s_ts5_0.82,0.816699,0.020486,0.5,40.0
s_ts5_0.82,0.815009,0.02543,0.5,60.0
s_ts5_0.82,0.814502,0.023596,0.5,80.0
s_ts5_0.82,0.81462,0.021969,0.5,100.0
s_ts5_0.82,0.81511,0.022905,0.5,120.0
s_ts5_0.82,0.815245,0.021507,0.5,140.0
s_ts5_0.82,0.814417,0.022273,0.5,160.0
s_ts5_0.82,0.81315,0.024524,0.5,180.0
s_ts5_0.82,0.813099,0.02428,0.5,200.0
s_ts5_0.82,0.813302,0.023979,0.5,220.0
s_ts5_0.82,0.811612,0.023654,1.0,40.0
s_ts5_0.82,0.812034,0.023272,1.0,60.0
s_ts5_0.82,0.812947,0.023578,1.0,80.0
s_ts5_0.82,0.812964,0.023432,1.0,100.0
s_ts5_0.82,0.813319,0.022782,1.0,120.0
s_ts5_0.82,0.813369,0.022729,1.0,140.0
s_ts5_0.82,0.813589,0.022916,1.0,160.0
s_ts5_0.82,0.813826,0.022898,1.0,180.0
s_ts5_0.82,0.814012,0.022853,1.0,200.0
s_ts5_0.82,0.813657,0.022893,1.0,220.0
s_ts5_Nt40-4000.82,0.80218,0.024971,0.001,40.0
s_ts5_Nt40-4000.82,0.802501,0.025001,0.001,60.0
s_ts5_Nt40-4000.82,0.802789,0.025344,0.001,80.0
s_ts5_Nt40-4000.82,0.803735,0.023017,0.001,100.0
s_ts5_Nt40-4000.82,0.803397,0.023135,0.001,120.0
s_ts5_Nt40-4000.82,0.805087,0.023363,0.001,140.0
s_ts5_Nt40-4000.82,0.80338,0.025491,0.001,160.0
s_ts5_Nt40-4000.82,0.807166,0.026207,0.001,180.0
s_ts5_Nt40-4000.82,0.80453,0.025638,0.001,200.0
s_ts5_Nt40-4000.82,0.804175,0.02573,0.001,220.0
s_ts5_Nt40-4000.82,0.804344,0.02547,0.001,240.0
s_ts5_Nt40-4000.82,0.804462,0.025354,0.001,260.0
s_ts5_Nt40-4000.82,0.803702,0.025151,0.001,280.0
s_ts5_Nt40-4000.82,0.803938,0.025259,0.001,300.0
s_ts5_Nt40-4000.82,0.803938,0.025259,0.001,320.0
s_ts5_Nt40-4000.82,0.80404,0.025561,0.001,340.0
s_ts5_Nt40-4000.82,0.80404,0.025561,0.001,360.0
s_ts5_Nt40-4000.82,0.804276,0.024531,0.001,380.0
s_ts5_Nt40-4000.82,0.804259,0.025031,0.001,400.0
s_ts5_Nt40-4000.82,0.804682,0.025619,0.005,40.0
s_ts5_Nt40-4000.82,0.80409,0.025226,0.005,60.0
s_ts5_Nt40-4000.82,0.805764,0.02485,0.005,80.0
s_ts5_Nt40-4000.82,0.80889,0.022772,0.005,100.0
s_ts5_Nt40-4000.82,0.80813,0.022275,0.005,120.0
s_ts5_Nt40-4000.82,0.806389,0.015297,0.005,140.0
s_ts5_Nt40-4000.82,0.807386,0.014633,0.005,160.0
s_ts5_Nt40-4000.82,0.811831,0.010259,0.005,180.0
s_ts5_Nt40-4000.82,0.811916,0.009392,0.005,200.0
s_ts5_Nt40-4000.82,0.812524,0.00849,0.005,220.0
s_ts5_Nt40-4000.82,0.813741,0.00956,0.005,240.0
s_ts5_Nt40-4000.82,0.814282,0.009221,0.005,260.0
s_ts5_Nt40-4000.82,0.815195,0.010337,0.005,280.0
s_ts5_Nt40-4000.82,0.817274,0.00945,0.005,300.0
s_ts5_Nt40-4000.82,0.816784,0.009273,0.005,320.0
s_ts5_Nt40-4000.82,0.817003,0.010724,0.005,340.0
s_ts5_Nt40-4000.82,0.816361,0.012411,0.005,360.0
s_ts5_Nt40-4000.82,0.815448,0.012443,0.005,380.0
s_ts5_Nt40-4000.82,0.815398,0.012627,0.005,400.0
s_ts5_Nt40-4000.82,0.808011,0.024915,0.01,40.0
s_ts5_Nt40-4000.82,0.80671,0.022303,0.01,60.0
s_ts5_Nt40-4000.82,0.808011,0.014593,0.01,80.0
s_ts5_Nt40-4000.82,0.812457,0.009009,0.01,100.0
s_ts5_Nt40-4000.82,0.814519,0.009301,0.01,120.0
s_ts5_Nt40-4000.82,0.81511,0.010248,0.01,140.0
s_ts5_Nt40-4000.82,0.817054,0.01039,0.01,160.0
s_ts5_Nt40-4000.82,0.815127,0.012744,0.01,180.0
s_ts5_Nt40-4000.82,0.814806,0.01313,0.01,200.0
s_ts5_Nt40-4000.82,0.818744,0.011525,0.01,220.0
s_ts5_Nt40-4000.82,0.819082,0.011168,0.01,240.0
s_ts5_Nt40-4000.82,0.818913,0.011924,0.01,260.0
s_ts5_Nt40-4000.82,0.821026,0.014111,0.01,280.0
s_ts5_Nt40-4000.82,0.821398,0.015539,0.01,300.0
s_ts5_Nt40-4000.82,0.820282,0.018235,0.01,320.0
s_ts5_Nt40-4000.82,0.819623,0.019101,0.01,340.0
s_ts5_Nt40-4000.82,0.817815,0.022527,0.01,360.0
s_ts5_Nt40-4000.82,0.814891,0.026843,0.01,380.0
s_ts5_Nt40-4000.82,0.814722,0.0275,0.01,400.0
s_ts5_Nt40-4000.82,0.81271,0.010926,0.05,40.0
s_ts5_Nt40-4000.82,0.819539,0.014867,0.05,60.0
s_ts5_Nt40-4000.82,0.819843,0.018232,0.05,80.0
s_ts5_Nt40-4000.82,0.820772,0.021104,0.05,100.0
s_ts5_Nt40-4000.82,0.819505,0.02432,0.05,120.0
s_ts5_Nt40-4000.82,0.823274,0.021256,0.05,140.0
s_ts5_Nt40-4000.82,0.823967,0.019303,0.05,160.0
s_ts5_Nt40-4000.82,0.823375,0.022592,0.05,180.0
s_ts5_Nt40-4000.82,0.822801,0.023854,0.05,200.0
s_ts5_Nt40-4000.82,0.821263,0.025234,0.05,220.0
s_ts5_Nt40-4000.82,0.820384,0.02513,0.05,240.0
s_ts5_Nt40-4000.82,0.82057,0.026245,0.05,260.0
s_ts5_Nt40-4000.82,0.82155,0.024578,0.05,280.0
s_ts5_Nt40-4000.82,0.823139,0.023869,0.05,300.0
s_ts5_Nt40-4000.82,0.822209,0.024363,0.05,320.0
s_ts5_Nt40-4000.82,0.822141,0.023537,0.05,340.0
s_ts5_Nt40-4000.82,0.821736,0.023591,0.05,360.0
s_ts5_Nt40-4000.82,0.821043,0.022884,0.05,380.0
s_ts5_Nt40-4000.82,0.820232,0.023784,0.05,400.0
s_ts5_Nt40-4000.82,0.816006,0.028575,0.1,40.0
s_ts5_Nt40-4000.82,0.819133,0.027043,0.1,60.0
s_ts5_Nt40-4000.82,0.81653,0.029506,0.1,80.0
s_ts5_Nt40-4000.82,0.814012,0.030644,0.1,100.0
s_ts5_Nt40-4000.82,0.814722,0.029369,0.1,120.0
s_ts5_Nt40-4000.82,0.814181,0.032282,0.1,140.0
s_ts5_Nt40-4000.82,0.815837,0.031199,0.1,160.0
s_ts5_Nt40-4000.82,0.816784,0.030674,0.1,180.0
s_ts5_Nt40-4000.82,0.816429,0.03031,0.1,200.0
s_ts5_Nt40-4000.82,0.816936,0.029117,0.1,220.0
s_ts5_Nt40-4000.82,0.817933,0.029042,0.1,240.0
s_ts5_Nt40-4000.82,0.817933,0.029142,0.1,260.0
s_ts5_Nt40-4000.82,0.8168,0.029423,0.1,280.0
s_ts5_Nt40-4000.82,0.817679,0.028184,0.1,300.0
s_ts5_Nt40-4000.82,0.818913,0.026876,0.1,320.0
s_ts5_Nt40-4000.82,0.818778,0.026428,0.1,340.0
s_ts5_Nt40-4000.82,0.818592,0.025826,0.1,360.0
s_ts5_Nt40-4000.82,0.818575,0.025929,0.1,380.0
s_ts5_Nt40-4000.82,0.818524,0.026,0.1,400.0
s_ts5_Nt40-4000.82,0.816699,0.020486,0.5,40.0
s_ts5_Nt40-4000.82,0.815009,0.02543,0.5,60.0
s_ts5_Nt40-4000.82,0.814502,0.023596,0.5,80.0
s_ts5_Nt40-4000.82,0.81462,0.021969,0.5,100.0
s_ts5_Nt40-4000.82,0.81511,0.022905,0.5,120.0
s_ts5_Nt40-4000.82,0.815245,0.021507,0.5,140.0
s_ts5_Nt40-4000.82,0.814417,0.022273,0.5,160.0
s_ts5_Nt40-4000.82,0.81315,0.024524,0.5,180.0
s_ts5_Nt40-4000.82,0.813099,0.02428,0.5,200.0
s_ts5_Nt40-4000.82,0.813302,0.023979,0.5,220.0
s_ts5_Nt40-4000.82,0.812964,0.024311,0.5,240.0
s_ts5_Nt40-4000.82,0.812626,0.025005,0.5,260.0
s_ts5_Nt40-4000.82,0.81266,0.025398,0.5,280.0
s_ts5_Nt40-4000.82,0.812862,0.025081,0.5,300.0
s_ts5_Nt40-4000.82,0.812541,0.025824,0.5,320.0
s_ts5_Nt40-4000.82,0.812474,0.025865,0.5,340.0
s_ts5_Nt40-4000.82,0.81244,0.025566,0.5,360.0
s_ts5_Nt40-4000.82,0.812338,0.025878,0.5,380.0
s_ts5_Nt40-4000.82,0.812152,0.025816,0.5,400.0
s_ts5_Nt40-4000.82,0.811612,0.023654,1.0,40.0
s_ts5_Nt40-4000.82,0.812034,0.023272,1.0,60.0
s_ts5_Nt40-4000.82,0.812947,0.023578,1.0,80.0
s_ts5_Nt40-4000.82,0.812964,0.023432,1.0,100.0
s_ts5_Nt40-4000.82,0.813319,0.022782,1.0,120.0
s_ts5_Nt40-4000.82,0.813369,0.022729,1.0,140.0
s_ts5_Nt40-4000.82,0.813589,0.022916,1.0,160.0
s_ts5_Nt40-4000.82,0.813826,0.022898,1.0,180.0
s_ts5_Nt40-4000.82,0.814012,0.022853,1.0,200.0
s_ts5_Nt40-4000.82,0.813657,0.022893,1.0,220.0
s_ts5_Nt40-4000.82,0.813826,0.022845,1.0,240.0
s_ts5_Nt40-4000.82,0.813876,0.023337,1.0,260.0
s_ts5_Nt40-4000.82,0.813893,0.022963,1.0,280.0
s_ts5_Nt40-4000.82,0.814045,0.023153,1.0,300.0
s_ts5_Nt40-4000.82,0.814029,0.022968,1.0,320.0
s_ts5_Nt40-4000.82,0.813944,0.023174,1.0,340.0
s_ts5_Nt40-4000.82,0.81386,0.023377,1.0,360.0
s_ts5_Nt40-4000.82,0.813724,0.023356,1.0,380.0
s_ts5_Nt40-4000.82,0.813454,0.023506,1.0,400.0
s_ts10_Nt40-200_0.81,0.801983,0.058975,0.001,40.0
s_ts10_Nt40-200_0.81,0.800852,0.054043,0.001,60.0
s_ts10_Nt40-200_0.81,0.801302,0.054211,0.001,80.0
s_ts10_Nt40-200_0.81,0.802014,0.054574,0.001,100.0
s_ts10_Nt40-200_0.81,0.80141,0.051705,0.001,120.0
s_ts10_Nt40-200_0.81,0.800883,0.051652,0.001,140.0
s_ts10_Nt40-200_0.81,0.80093,0.051724,0.001,160.0
s_ts10_Nt40-200_0.81,0.802045,0.052582,0.001,180.0
s_ts10_Nt40-200_0.81,0.802448,0.052776,0.001,200.0
s_ts10_Nt40-200_0.81,0.802293,0.052618,0.001,220.0
s_ts10_Nt40-200_0.81,0.802386,0.052592,0.005,40.0
s_ts10_Nt40-200_0.81,0.801751,0.052294,0.005,60.0
s_ts10_Nt40-200_0.81,0.80612,0.05188,0.005,80.0
s_ts10_Nt40-200_0.81,0.808615,0.051772,0.005,100.0
s_ts10_Nt40-200_0.81,0.812488,0.052786,0.005,120.0
s_ts10_Nt40-200_0.81,0.813232,0.053384,0.005,140.0
s_ts10_Nt40-200_0.81,0.813139,0.053447,0.005,160.0
s_ts10_Nt40-200_0.81,0.813279,0.053281,0.005,180.0
s_ts10_Nt40-200_0.81,0.811776,0.052095,0.005,200.0
s_ts10_Nt40-200_0.81,0.812953,0.049437,0.005,220.0
s_ts10_Nt40-200_0.81,0.806353,0.05211,0.01,40.0
s_ts10_Nt40-200_0.81,0.811698,0.0525,0.01,60.0
s_ts10_Nt40-200_0.81,0.812922,0.053328,0.01,80.0
s_ts10_Nt40-200_0.81,0.812209,0.052114,0.01,100.0
s_ts10_Nt40-200_0.81,0.810985,0.05156,0.01,120.0
s_ts10_Nt40-200_0.81,0.80956,0.052976,0.01,140.0
s_ts10_Nt40-200_0.81,0.808646,0.054026,0.01,160.0
s_ts10_Nt40-200_0.81,0.808073,0.053803,0.01,180.0
s_ts10_Nt40-200_0.81,0.807143,0.053717,0.01,200.0
s_ts10_Nt40-200_0.81,0.80846,0.053889,0.01,220.0
s_ts10_Nt40-200_0.81,0.808258,0.053708,0.05,40.0
s_ts10_Nt40-200_0.81,0.808754,0.052426,0.05,60.0
s_ts10_Nt40-200_0.81,0.809064,0.054392,0.05,80.0
s_ts10_Nt40-200_0.81,0.809591,0.052033,0.05,100.0
s_ts10_Nt40-200_0.81,0.81004,0.052224,0.05,120.0
s_ts10_Nt40-200_0.81,0.812349,0.052323,0.05,140.0
s_ts10_Nt40-200_0.81,0.812318,0.053268,0.05,160.0
s_ts10_Nt40-200_0.81,0.812101,0.053633,0.05,180.0
s_ts10_Nt40-200_0.81,0.811962,0.053846,0.05,200.0
s_ts10_Nt40-200_0.81,0.811326,0.054561,0.05,220.0
s_ts10_Nt40-200_0.81,0.810071,0.054091,0.1,40.0
s_ts10_Nt40-200_0.81,0.813077,0.05353,0.1,60.0
s_ts10_Nt40-200_0.81,0.813774,0.054537,0.1,80.0
s_ts10_Nt40-200_0.81,0.812287,0.055705,0.1,100.0
s_ts10_Nt40-200_0.81,0.811636,0.055935,0.1,120.0
s_ts10_Nt40-200_0.81,0.810428,0.055929,0.1,140.0
s_ts10_Nt40-200_0.81,0.808894,0.055687,0.1,160.0
s_ts10_Nt40-200_0.81,0.808181,0.055594,0.1,180.0
s_ts10_Nt40-200_0.81,0.808165,0.055589,0.1,200.0
s_ts10_Nt40-200_0.81,0.807871,0.056073,0.1,220.0
s_ts10_Nt40-200_0.81,0.809529,0.055578,0.5,40.0
s_ts10_Nt40-200_0.81,0.808196,0.055588,0.5,60.0
s_ts10_Nt40-200_0.81,0.807763,0.055539,0.5,80.0
s_ts10_Nt40-200_0.81,0.80784,0.055191,0.5,100.0
s_ts10_Nt40-200_0.81,0.807964,0.055569,0.5,120.0
s_ts10_Nt40-200_0.81,0.807654,0.055441,0.5,140.0
s_ts10_Nt40-200_0.81,0.807902,0.055549,0.5,160.0
s_ts10_Nt40-200_0.81,0.80784,0.055687,0.5,180.0
s_ts10_Nt40-200_0.81,0.80753,0.055899,0.5,200.0
s_ts10_Nt40-200_0.81,0.807577,0.055767,0.5,220.0
s_ts10_Nt40-200_0.81,0.809932,0.057065,1.0,40.0
s_ts10_Nt40-200_0.81,0.810676,0.056952,1.0,60.0
s_ts10_Nt40-200_0.81,0.810691,0.057299,1.0,80.0
s_ts10_Nt40-200_0.81,0.811311,0.057637,1.0,100.0
s_ts10_Nt40-200_0.81,0.811233,0.057614,1.0,120.0
s_ts10_Nt40-200_0.81,0.811543,0.057753,1.0,140.0
s_ts10_Nt40-200_0.81,0.811574,0.058126,1.0,160.0
s_ts10_Nt40-200_0.81,0.811729,0.058254,1.0,180.0
s_ts10_Nt40-200_0.81,0.811357,0.058363,1.0,200.0
s_ts10_Nt40-200_0.81,0.811187,0.05859,1.0,220.0
s_ts10_Nt40-400_0.81,0.801983,0.058975,0.001,40.0
s_ts10_Nt40-400_0.81,0.800852,0.054043,0.001,60.0
s_ts10_Nt40-400_0.81,0.801302,0.054211,0.001,80.0
s_ts10_Nt40-400_0.81,0.802014,0.054574,0.001,100.0
s_ts10_Nt40-400_0.81,0.80141,0.051705,0.001,120.0
s_ts10_Nt40-400_0.81,0.800883,0.051652,0.001,140.0
s_ts10_Nt40-400_0.81,0.80093,0.051724,0.001,160.0
s_ts10_Nt40-400_0.81,0.802045,0.052582,0.001,180.0
s_ts10_Nt40-400_0.81,0.802448,0.052776,0.001,200.0
s_ts10_Nt40-400_0.81,0.802293,0.052618,0.001,220.0
s_ts10_Nt40-400_0.81,0.801828,0.052227,0.001,240.0
s_ts10_Nt40-400_0.81,0.801782,0.052188,0.001,260.0
s_ts10_Nt40-400_0.81,0.802123,0.05227,0.001,280.0
s_ts10_Nt40-400_0.81,0.801983,0.052451,0.001,300.0
s_ts10_Nt40-400_0.81,0.802092,0.052353,0.001,320.0
s_ts10_Nt40-400_0.81,0.804896,0.051633,0.001,340.0
s_ts10_Nt40-400_0.81,0.805361,0.052138,0.001,360.0
s_ts10_Nt40-400_0.81,0.805795,0.051977,0.001,380.0
s_ts10_Nt40-400_0.81,0.802386,0.052592,0.005,40.0
s_ts10_Nt40-400_0.81,0.801751,0.052294,0.005,60.0
s_ts10_Nt40-400_0.81,0.80612,0.05188,0.005,80.0
s_ts10_Nt40-400_0.81,0.808615,0.051772,0.005,100.0
s_ts10_Nt40-400_0.81,0.812488,0.052786,0.005,120.0
s_ts10_Nt40-400_0.81,0.813232,0.053384,0.005,140.0
s_ts10_Nt40-400_0.81,0.813139,0.053447,0.005,160.0
s_ts10_Nt40-400_0.81,0.813279,0.053281,0.005,180.0
s_ts10_Nt40-400_0.81,0.811776,0.052095,0.005,200.0
s_ts10_Nt40-400_0.81,0.812953,0.049437,0.005,220.0
s_ts10_Nt40-400_0.81,0.811078,0.051481,0.005,240.0
s_ts10_Nt40-400_0.81,0.811357,0.051422,0.005,260.0
s_ts10_Nt40-400_0.81,0.810257,0.053124,0.005,280.0
s_ts10_Nt40-400_0.81,0.809312,0.05249,0.005,300.0
s_ts10_Nt40-400_0.81,0.808971,0.054085,0.005,320.0
s_ts10_Nt40-400_0.81,0.808429,0.053759,0.005,340.0
s_ts10_Nt40-400_0.81,0.80894,0.053692,0.005,360.0
s_ts10_Nt40-400_0.81,0.808042,0.053439,0.005,380.0
s_ts10_Nt40-400_0.81,0.806353,0.05211,0.01,40.0
s_ts10_Nt40-400_0.81,0.811698,0.0525,0.01,60.0
s_ts10_Nt40-400_0.81,0.812922,0.053328,0.01,80.0
s_ts10_Nt40-400_0.81,0.812209,0.052114,0.01,100.0
